Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
92000,744,92000,0.1,248,0.059147,180,180,170,170,40,35.017148,89.778841,25,0.034808,0.144779,0.820413,-10151.27143,150735.7565,64213.25308,29.023768,43.180983,21.711293,15.071901,36.735686,-0.102488,Case 1
98000,744,98000,0.1,248,0.056963,180,180,170,170,40,35.002622,89.747525,25,0.033071,0.145039,0.821889,-10771.88951,148991.5674,69372.35005,29.099869,43.271818,20.866745,15.919824,39.2298,-0.104733,Case 2
104000,744,104000,0.1,248,0.054482,180,180,170,170,40,35.003796,89.720688,25,0.031206,0.145319,0.823474,-11480.64359,147309.8726,74365.52186,29.179474,43.369088,19.910602,16.861575,41.996285,-0.110437,Case 3
110000,744,110000,0.1,248,0.051954,180,180,170,170,40,35.001607,89.694225,25,0.029321,0.145602,0.825077,-12296.46506,145561.3321,79334.20515,29.259783,43.468322,18.940259,17.882198,45.022536,-0.116581,Case 4
116000,744,116000,0.1,248,0.049547,180,180,170,170,40,35.008192,89.667974,25,0.027358,0.145896,0.826746,-13200.84473,143503.8878,84508.65187,29.344747,43.575506,18.017606,18.855854,48.125032,-0.121247,Case 5
122000,744,122000,0.1,248,0.046571,180,180,170,170,40,35.005958,89.635285,25,0.025004,0.146249,0.828747,-14298.07821,141972.5906,89129.08981,29.437286,43.695768,16.887214,20.007227,51.88527,-0.132353,Case 6
128000,744,128000,0.1,248,0.044108,180,180,170,170,40,35.004985,89.593724,25,0.022942,0.146559,0.830499,-15873.52896,140103.5726,93604.1534,29.520366,43.806143,15.953357,20.926682,55.127299,-0.137367,Case 7
134000,744,134000,0.1,248,0.042017,180,180,170,170,40,35.006377,89.532252,25,0.021099,0.146835,0.832066,-18245.08532,138795.212,97038.71701,29.59087,43.902899,15.163262,21.701962,58.059774,-0.137924,Case 8
140000,744,140000,0.1,248,0.040696,180,180,170,170,40,35.012953,89.442078,25,0.019912,0.147013,0.833075,-21601.94947,137656.895,99651.72817,29.64009,43.967291,14.665783,22.189907,59.986824,-0.129409,Case 9
146000,744,146000,0.1,248,0.03951,180,180,170,170,40,35.003277,89.333667,25,0.01879,0.147182,0.834029,-25689.29018,136804.4508,101650.6465,29.683328,44.026638,14.219963,22.610715,61.777196,-0.119294,Case 10
152000,744,152000,0.1,248,0.038582,180,180,170,170,40,35.011303,89.215243,25,0.01784,0.147324,0.834836,-30197.72656,136001.146,103322.1279,29.719411,44.078282,13.870649,23.000929,63.467548,-0.106186,Case 11
158000,744,158000,0.1,248,0.037867,180,180,170,170,40,35.009567,89.066912,25,0.017149,0.147428,0.835424,-35051.50468,136069.2039,104032.5218,29.749093,44.110609,13.603555,23.325779,64.809316,-0.09053,Case 12
164000,744,164000,0.1,248,0.037271,180,180,170,170,40,35.008947,88.935963,25,0.016544,0.147518,0.835938,-40009.14298,135217.6963,105459.9804,29.775483,44.145254,13.38033,23.522638,65.775081,-0.073514,Case 13
170000,744,170000,0.1,248,0.036734,180,180,170,170,40,35.00861,88.82313,25,0.015995,0.147601,0.836404,-44692.9491,135269.2479,105855.7503,29.788809,44.170854,13.180072,23.646256,66.512535,-0.055786,Case 14
176000,744,176000,0.1,248,0.036281,180,180,170,170,40,35.008032,88.674955,25,0.015527,0.147671,0.836802,-50530.68112,134556.7819,106968.8366,29.805866,44.198193,13.010878,23.868899,67.485236,-0.037094,Case 15
182000,744,182000,0.1,248,0.035844,180,180,170,170,40,35.008044,88.54824,25,0.015064,0.14774,0.837196,-55291.20465,134599.1675,107346.4422,29.823771,44.219766,12.84834,23.991917,68.188202,-0.018197,Case 16
188000,744,188000,0.1,248,0.035511,180,180,170,170,40,35.007539,88.407418,25,0.014685,0.147797,0.837517,-60764.36668,134631.5917,107650.0061,29.835931,44.237378,12.724476,24.138019,68.916854,0.0019,Case 17
194000,744,194000,0.1,248,0.035146,180,180,170,170,40,35.00754,88.267997,25,0.014314,0.147853,0.837833,-66249.89592,133791.406,108803.4806,29.853566,44.261149,12.587863,24.2747,69.58918,0.021601,Case 18
200000,744,200000,0.1,248,0.034823,180,180,170,170,40,35.007408,88.112261,25,0.013955,0.147907,0.838138,-72316.67497,133823.272,109077.4017,29.867006,44.277838,12.468012,24.403225,70.260489,0.041822,Case 19
