Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
80000,315,80000,0.1,105,0.024195,180,180,170,170,40,34.987801,88.635852,25,0.015874,0.147619,0.836507,-22249.59238,54730.07925,47651.83026,12.624485,18.700582,3.639619,11.96473,70.567135,-0.051768,Case 1
86000,315,86000,0.1,105,0.0209,180,180,170,170,40,35.012077,88.241611,25,0.01312,0.148032,0.838848,-28288.34403,53632.00743,49475.10923,12.676143,18.76769,3.130741,12.480187,75.196068,-0.043607,Case 2
92000,315,92000,0.1,105,0.020632,180,180,170,170,40,35.00224,87.953796,25,0.012886,0.148067,0.839047,-33671.34857,53556.69212,49620.94718,12.67072,18.773336,3.089556,12.545417,75.752324,-0.020947,Case 3
98000,315,98000,0.1,105,0.019505,180,180,170,170,40,35.008327,87.628629,25,0.011737,0.148239,0.840024,-39479.81671,53059.63849,50383.9473,12.6862,18.802544,2.915686,12.675843,77.427516,-0.002401,Case 4
104000,315,104000,0.1,105,0.019118,180,180,170,170,40,35.008111,87.261543,25,0.011388,0.148292,0.84032,-45196.86686,52947.10388,50705.7676,12.698593,18.810841,2.856504,12.735385,78.038904,0.0197,Case 5
110000,315,110000,0.1,105,0.018701,180,180,170,170,40,35.004058,86.933432,25,0.011004,0.148349,0.840647,-50609.3465,52830.74463,50990.76645,12.709918,18.819928,2.792673,12.803927,78.740197,0.041658,Case 6
116000,315,116000,0.1,105,0.018745,180,180,170,170,40,34.962907,86.626436,25,0.010985,0.148352,0.840662,-56154.4661,52819.98028,51070.92485,12.709904,18.821198,2.798824,12.846031,79.064316,0.065785,Case 7
122000,315,122000,0.1,105,0.017594,180,180,170,170,40,35.009847,86.301152,25,0.009791,0.148531,0.841677,-62254.58495,52357.1817,51746.59036,12.725641,18.850268,2.622852,12.959339,80.760148,0.084266,Case 8
128000,315,128000,0.1,105,0.017682,180,180,170,170,40,34.999455,85.980323,25,0.00996,0.148506,0.841534,-67753.14279,52472.35633,51713.52682,12.729723,18.8454,2.636618,12.975828,80.674186,0.108629,Case 9
134000,315,134000,0.1,105,0.017049,180,180,170,170,40,35.010329,85.688116,25,0.009201,0.14862,0.842179,-74001.21545,52159.9713,52065.2543,12.727027,18.864566,2.539624,13.03607,81.785071,0.129558,Case 10
140000,315,140000,0.1,105,0.016773,180,180,170,170,40,35.010371,85.387016,25,0.008891,0.148666,0.842443,-79930.15459,52059.28928,52213.98789,12.727084,18.872065,2.497462,13.075369,82.326624,0.152187,Case 11
146000,315,146000,0.1,105,0.01653,180,180,170,170,40,35.014303,85.089473,25,0.008636,0.148705,0.84266,-85689.46046,51981.25199,52377.05624,12.731424,18.877963,2.460579,13.148336,83.019216,0.17498,Case 12
152000,315,152000,0.1,105,0.016509,180,180,170,170,40,35.003242,84.73701,25,0.008574,0.148714,0.842712,-91400.76657,51988.44902,52542.30417,12.748887,18.879392,2.457342,13.118647,82.908848,0.198816,Case 13
158000,315,158000,0.1,105,0.016286,180,180,170,170,40,35.003962,84.43507,25,0.008331,0.14875,0.842918,-97289.71303,51892.54743,52709.95099,12.753136,18.88539,2.423264,13.16736,83.44537,0.221696,Case 14
164000,315,164000,0.1,105,0.016026,180,180,170,170,40,35.009301,84.163907,25,0.00803,0.148796,0.843175,-103121.5283,51786.31005,52846.26171,12.752573,18.892787,2.38368,13.187112,83.879542,0.244405,Case 15
170000,315,170000,0.1,105,0.015882,180,180,170,170,40,35.006987,83.839088,25,0.00785,0.148823,0.843328,-109067.3811,51742.12057,53011.13367,12.763102,18.897054,2.361794,13.261974,84.53175,0.267662,Case 16
176000,315,176000,0.1,105,0.015658,180,180,170,170,40,35.007038,83.555176,25,0.007655,0.148852,0.843493,-114947.1556,51740.22374,53052.48659,12.764095,18.900912,2.327907,13.291871,84.876037,0.290548,Case 17
182000,315,182000,0.1,105,0.015498,180,180,170,170,40,35.006979,83.273809,25,0.007452,0.148882,0.843666,-120884.0389,51687.50329,53141.54819,12.765354,18.905679,2.30363,13.30186,85.162539,0.313732,Case 18
188000,315,188000,0.1,105,0.015446,180,180,170,170,40,35.002218,82.983603,25,0.007354,0.148897,0.843749,-126483.7468,51637.49018,53289.44953,12.774965,18.908276,2.295618,13.282927,85.169807,0.337419,Case 19
194000,315,194000,0.1,105,0.015227,180,180,170,170,40,35.006965,82.706849,25,0.007101,0.148935,0.843964,-132715.651,51591.14096,53353.44382,12.773407,18.914004,2.262501,13.344407,85.824007,0.360329,Case 20
200000,315,200000,0.1,105,0.015213,180,180,170,170,40,35.002043,82.427347,25,0.007053,0.148942,0.844005,-138302.1496,51550.05791,53471.54565,12.780959,18.915455,2.260216,13.330541,85.808052,0.384194,Case 21
