Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
92000,627,92000,0.1,209,0.050761,180,180,170,170,40,35.004603,89.70464,25,0.029871,0.145519,0.82461,-10405.61406,122588.7731,66027.85562,24.638013,36.603291,15.582878,15.492689,45.305282,-0.112792,Case 1
98000,627,98000,0.1,209,0.047615,180,180,170,170,40,35.004193,89.669905,25,0.02759,0.145861,0.826548,-11260.20718,120754.7452,70871.20976,24.718007,36.703658,14.574694,16.509884,48.881866,-0.12011,Case 2
104000,627,104000,0.1,209,0.044347,180,180,170,170,40,35.004993,89.630294,25,0.0251,0.146235,0.828665,-12299.70126,118776.562,75818.69605,24.806184,36.815886,13.53008,17.56658,52.817488,-0.128556,Case 3
110000,627,110000,0.1,209,0.041491,180,180,170,170,40,35.019679,89.581849,25,0.022921,0.146562,0.830517,-13856.90126,117011.891,80076.35858,24.881313,36.915215,12.621352,18.472637,56.317367,-0.132791,Case 4
116000,627,116000,0.1,209,0.039014,180,180,170,170,40,35.019029,89.506308,25,0.020862,0.146871,0.832267,-16314.57255,115550.1206,83555.03091,24.949425,37.008492,11.836507,19.249429,59.606626,-0.133185,Case 5
122000,627,122000,0.1,209,0.036941,180,180,170,170,40,35.006564,89.393633,25,0.019028,0.147146,0.833826,-19877.58423,114488.1511,86121.29773,25.007944,37.090405,11.182068,19.859469,62.456672,-0.129536,Case 6
128000,627,128000,0.1,209,0.035836,180,180,170,170,40,35.011719,89.252616,25,0.018038,0.147294,0.834667,-24033.17808,113649.8329,87931.05763,25.047422,37.136645,10.833949,20.186395,64.036555,-0.116392,Case 7
134000,627,134000,0.1,209,0.034942,180,180,170,170,40,35.003934,89.105076,25,0.017203,0.14742,0.835377,-28803.10117,113014.5739,89265.031,25.073948,37.175083,10.553149,20.545332,65.686201,-0.10116,Case 8
140000,627,140000,0.1,209,0.033994,180,180,170,170,40,35.011613,88.959774,25,0.016241,0.147564,0.836195,-33745.05672,112381.0866,90505.39047,25.101284,37.219347,10.254884,20.730817,66.937699,-0.086471,Case 9
146000,627,146000,0.1,209,0.033284,180,180,170,170,40,35.009405,88.782599,25,0.015608,0.147659,0.836733,-38954.87513,112431.7009,91003.07788,25.122645,37.244368,10.033252,20.965576,68.085119,-0.069405,Case 10
152000,627,152000,0.1,209,0.032915,180,180,170,170,40,35.003886,88.629831,25,0.015231,0.147715,0.837054,-44084.04423,111737.6504,92023.96371,25.134408,37.264684,9.917519,21.133147,68.905039,-0.049056,Case 11
158000,627,158000,0.1,209,0.032409,180,180,170,170,40,35.008451,88.472157,25,0.014732,0.14779,0.837478,-49096.30648,111777.0596,92364.23541,25.150346,37.284413,9.759742,21.320443,69.873236,-0.030011,Case 12
164000,627,164000,0.1,209,0.031989,180,180,170,170,40,35.008163,88.307022,25,0.014279,0.147858,0.837863,-54544.29082,111313.3595,93150.81047,25.166041,37.306243,9.628416,21.450797,70.659443,-0.010146,Case 13
170000,627,170000,0.1,209,0.031569,180,180,170,170,40,35.007947,88.124598,25,0.013864,0.14792,0.838216,-60409.20038,111344.1949,93439.9159,25.180853,37.322642,9.497883,21.621691,71.533927,0.009743,Case 14
176000,627,176000,0.1,209,0.031203,180,180,170,170,40,35.007859,87.978781,25,0.013461,0.147981,0.838558,-65479.29889,110849.0361,94172.49018,25.191853,37.342747,9.383401,21.680471,72.063396,0.030131,Case 15
182000,627,182000,0.1,209,0.030856,180,180,170,170,40,35.007478,87.811538,25,0.013104,0.148034,0.838861,-71153.1146,110874.8135,94380.8478,25.20121,37.356789,9.275585,21.786137,72.700143,0.050724,Case 16
188000,627,188000,0.1,209,0.030562,180,180,170,170,40,35.00735,87.646388,25,0.012773,0.148084,0.839143,-76730.02747,110897.1108,94576.65636,25.210166,37.36984,9.184496,21.871933,73.276049,0.071837,Case 17
194000,627,194000,0.1,209,0.030284,180,180,170,170,40,35.00719,87.458055,25,0.012471,0.148129,0.8394,-82556.24528,110311.6923,95450.06088,25.233045,37.386674,9.097192,22.000768,73.96336,0.093067,Case 18
200000,627,200000,0.1,209,0.029972,180,180,170,170,40,35.007297,87.282026,25,0.012132,0.14818,0.839688,-88507.67928,110335.4583,95639.69226,25.244031,37.399985,9.000696,22.05546,74.442319,0.114011,Case 19
