Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
86000,588,86000,0.1,196,0.050676,180,180,170,170,40,35.003669,89.715279,25,0.030307,0.145454,0.824239,-9810.664437,115108.7067,61354.05839,23.091325,34.306661,14.590519,14.528793,44.913684,-0.107599,Case 1
92000,588,92000,0.1,196,0.047117,180,180,170,170,40,35.021422,89.673125,25,0.027797,0.145831,0.826373,-10645.83635,113193.3186,66348.40656,23.173709,34.410063,13.521119,15.588956,48.803363,-0.116814,Case 2
98000,588,98000,0.1,196,0.043763,180,180,170,170,40,35.001544,89.632482,25,0.025279,0.146208,0.828513,-11685.63193,110938.9839,71494.86311,23.258656,34.519327,12.515857,16.628647,52.843333,-0.124041,Case 3
104000,588,104000,0.1,196,0.040114,180,180,170,170,40,35.005108,89.57669,25,0.02246,0.146631,0.830909,-13190.95147,109225.8631,75849.21331,23.347725,34.637424,11.428618,17.669985,57.188667,-0.13381,Case 4
110000,588,110000,0.1,196,0.03747,180,180,170,170,40,35.00651,89.491851,25,0.020315,0.146953,0.832732,-15826.39714,107854.2721,79177.46216,23.412251,34.727603,10.646192,18.437135,60.612202,-0.134129,Case 5
116000,588,116000,0.1,196,0.035857,180,180,170,170,40,35.0143,89.369146,25,0.018956,0.147157,0.833887,-19360.08239,106778.7143,81512.79593,23.457585,34.787075,10.169638,19.005428,63.152909,-0.124966,Case 6
122000,588,122000,0.1,196,0.034465,180,180,170,170,40,35.01348,89.219611,25,0.017726,0.147341,0.834933,-23631.69424,106003.8029,83257.50702,23.49867,34.839553,9.759572,19.307747,64.837411,-0.113741,Case 7
128000,588,128000,0.1,196,0.033391,180,180,170,170,40,35.011845,89.066715,25,0.016739,0.147489,0.835772,-28399.72813,105398.2009,84525.03337,23.525413,34.881662,9.443943,19.644907,66.565916,-0.09959,Case 8
134000,588,134000,0.1,196,0.032673,180,180,170,170,40,35.004254,88.899857,25,0.01604,0.147594,0.836366,-33477.57892,104793.8004,85669.37728,23.547522,34.91339,9.232459,19.887805,67.852625,-0.08221,Case 9
140000,588,140000,0.1,196,0.031965,180,180,170,170,40,35.003265,88.796709,25,0.015383,0.147693,0.836924,-38857.62418,104654.4854,86276.31184,23.566249,34.938952,9.025788,20.132454,69.115922,-0.06468,Case 10
146000,588,146000,0.1,196,0.03154,180,180,170,170,40,35.003048,88.550294,25,0.014967,0.147755,0.837278,-43806.02645,104409.2227,86869.65681,23.578804,34.95663,8.901397,20.215793,69.695439,-0.0446,Case 11
152000,588,152000,0.1,196,0.030795,180,180,170,170,40,35.010622,88.349936,25,0.014165,0.147875,0.83796,-49624.54449,103810.446,87950.44954,23.609978,34.992092,8.683064,20.483071,71.24284,-0.027432,Case 12
158000,588,158000,0.1,196,0.030545,180,180,170,170,40,35.006518,88.200668,25,0.013953,0.147907,0.83814,-54581.53786,103825.3546,88116.30684,23.610378,34.999929,8.610202,20.555437,71.630327,-0.005755,Case 13
164000,588,164000,0.1,196,0.030138,180,180,170,170,40,35.008007,88.006089,25,0.013532,0.14797,0.838498,-60329.93729,103853.3944,88395.31027,23.625291,35.015587,8.492008,20.692658,72.440649,0.014517,Case 14
170000,588,170000,0.1,196,0.029773,180,180,170,170,40,35.007879,87.828917,25,0.013134,0.14803,0.838836,-65915.32025,103312.7837,89185.81912,23.639571,35.034875,8.385086,20.791443,73.116291,0.035139,Case 15
176000,588,176000,0.1,196,0.029426,180,180,170,170,40,35.00758,87.652157,25,0.012786,0.148082,0.839132,-71297.2972,103336.0104,89410.95953,23.652282,35.047763,8.28428,20.9019,73.778059,0.05595,Case 16
182000,588,182000,0.1,196,0.029133,180,180,170,170,40,35.007463,87.477775,25,0.01246,0.148131,0.839409,-77127.79055,103356.1849,89568.36741,23.65751,35.059844,8.199425,20.977197,74.330488,0.077256,Case 17
188000,588,188000,0.1,196,0.028849,180,180,170,170,40,35.007388,87.301216,25,0.012146,0.148178,0.839676,-82628.36898,102793.1716,90346.07631,23.672775,35.076354,8.115887,21.058045,74.8893,0.098602,Case 18
194000,588,194000,0.1,196,0.028575,180,180,170,170,40,35.007183,87.126869,25,0.011856,0.148222,0.839923,-88605.95672,102811.9682,90460.95009,23.675582,35.087086,8.036466,21.110451,75.328136,0.120076,Case 19
200000,588,200000,0.1,196,0.028355,180,180,170,170,40,35.007059,86.952936,25,0.011601,0.14826,0.840139,-94104.24047,102827.2154,90618.7862,23.68407,35.09649,7.972797,21.196202,75.869688,0.142039,Case 20
