Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
80000,198,80000,0.1,66,0.013096,180,180,170,170,40,34.998435,86.085264,25,0.009902,0.148515,0.841583,-41332.40447,32405.29308,33104.56826,8.004916,11.846235,1.222816,8.59393,81.581218,0.052988,Case 1
86000,198,86000,0.1,66,0.011899,180,180,170,170,40,35.009834,85.58307,25,0.008679,0.148698,0.842623,-47318.77031,32107.8546,33556.08464,8.015392,11.865946,1.108866,8.711492,83.717036,0.073392,Case 2
92000,198,92000,0.1,66,0.01156,180,180,170,170,40,35.009369,85.097766,25,0.008216,0.148768,0.843016,-53216.56812,31974.51128,33761.3072,8.01922,11.873889,1.076478,8.733864,84.412059,0.096324,Case 3
98000,198,98000,0.1,66,0.01131,180,180,170,170,40,35.008944,84.650495,25,0.007946,0.148808,0.843246,-59018.05191,31914.92282,33823.86596,8.015154,11.878251,1.052727,8.77055,85.035972,0.119524,Case 4
104000,198,104000,0.1,66,0.010758,180,180,170,170,40,35.023,84.177453,25,0.007274,0.148909,0.843817,-65124.64679,31770.16379,34030.2514,8.017845,11.888856,1.000485,8.804195,86.047219,0.14184,Case 5
110000,198,110000,0.1,66,0.010952,180,180,170,170,40,35.000539,83.661326,25,0.007569,0.148865,0.843566,-70798.18339,31856.60828,34053.43462,8.029622,11.883944,1.018859,8.791502,85.573937,0.166346,Case 6
116000,198,116000,0.1,66,0.010715,180,180,170,170,40,35.001338,83.195488,25,0.007269,0.14891,0.843821,-76703.15412,31783.10055,34197.40534,8.034893,11.888779,0.996426,8.831603,86.281933,0.189587,Case 7
122000,198,122000,0.1,66,0.010252,180,180,170,170,40,35.009504,82.753038,25,0.006654,0.149002,0.844344,-82511.94628,31645.63731,34428.57254,8.042788,11.898692,0.952586,8.869827,87.315147,0.212164,Case 8
128000,198,128000,0.1,66,0.010212,180,180,170,170,40,35.007594,82.359762,25,0.006567,0.149015,0.844418,-88619.99685,31616.16307,34370.55322,8.029865,11.900303,0.948689,8.881206,87.576903,0.235979,Case 9
134000,198,134000,0.1,66,0.010205,180,180,170,170,40,34.99802,81.877207,25,0.006525,0.149021,0.844454,-94257.61864,31610.10733,34530.50507,8.047653,11.901081,0.947932,8.842969,87.249764,0.259892,Case 10
140000,198,140000,0.1,66,0.009861,180,180,170,170,40,35.007441,81.500719,25,0.006138,0.149079,0.844782,-100420.287,31579.31949,34527.05089,8.040135,11.906529,0.915546,8.898845,88.208679,0.282824,Case 11
146000,198,146000,0.1,66,0.009918,180,180,170,170,40,34.998607,81.041946,25,0.006132,0.14908,0.844788,-106165.8059,31530.98586,34677.03672,8.051719,11.90729,0.920822,8.886246,88.125749,0.306924,Case 12
152000,198,152000,0.1,66,0.009812,180,180,170,170,40,34.998227,80.619221,25,0.00598,0.149103,0.844917,-112098.9631,31501.1585,34773.52715,8.058064,11.909685,0.91076,8.906984,88.508512,0.330548,Case 13
158000,198,158000,0.1,66,0.009623,180,180,170,170,40,34.999773,80.242002,25,0.005762,0.149136,0.845103,-118082.5178,31474.27232,34784.56259,8.054389,11.912811,0.893013,8.918028,88.85149,0.353934,Case 14
164000,198,164000,0.1,66,0.009544,180,180,170,170,40,34.998857,79.833509,25,0.005646,0.149153,0.845201,-123991.923,31453.35734,34871.74748,8.060964,11.914613,0.885593,8.937623,89.17946,0.377641,Case 15
170000,198,170000,0.1,66,0.009422,180,180,170,170,40,35.000242,79.469327,25,0.005453,0.149182,0.845365,-130007.6185,31413.69654,34894.60521,8.057542,11.917669,0.874043,8.941865,89.469644,0.401219,Case 16
176000,198,176000,0.1,66,0.009358,180,180,170,170,40,34.999376,79.077482,25,0.005355,0.149197,0.845448,-135930.0394,31395.99449,34971.58945,8.063461,11.9192,0.868008,8.960217,89.768292,0.424968,Case 17
182000,198,182000,0.1,66,0.009284,180,180,170,170,40,34.999114,78.717389,25,0.005238,0.149214,0.845548,-141897.8577,31374.08206,35033.44757,8.06714,11.921036,0.860985,8.971777,90.031997,0.448686,Case 18
188000,198,188000,0.1,66,0.00918,180,180,170,170,40,35.000775,78.363726,25,0.005061,0.149241,0.845698,-147916.1462,31341.17834,35028.65099,8.061436,11.923772,0.851156,8.970712,90.26027,0.472318,Case 19
194000,198,194000,0.1,66,0.009127,180,180,170,170,40,35.000067,78.017069,25,0.004978,0.149253,0.845769,-153880.323,31327.33699,35089.57121,8.066113,11.925054,0.846181,8.985032,90.50709,0.4961,Case 20
200000,198,200000,0.1,66,0.008905,180,180,170,170,40,35.00434,77.681719,25,0.004633,0.149305,0.846062,-160058.8322,31273.49055,35024.60328,8.050586,11.930277,0.825283,8.963606,90.765781,0.519388,Case 21
