Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
92000,666,92000,0.1,222,0.05396,180,180,170,170,40,34.997413,89.735054,25,0.031813,0.145228,0.822959,-10285.83332,132150.0376,65272.21879,26.095575,38.78934,17.648022,15.374958,42.10004,-0.108665,Case 1
98000,666,98000,0.1,222,0.051083,180,180,170,170,40,35.003916,89.700245,25,0.029627,0.145556,0.824817,-10999.64571,130227.8099,70452.95877,26.179276,38.89232,16.661717,16.348082,45.346426,-0.115304,Case 2
104000,666,104000,0.1,222,0.048183,180,180,170,170,40,35.002099,89.670642,25,0.027461,0.145881,0.826658,-11890.02599,128508.6805,75267.69441,26.259515,38.994607,15.671144,17.388858,48.84505,-0.122076,Case 3
110000,666,110000,0.1,222,0.045082,180,180,170,170,40,35.005505,89.631758,25,0.02505,0.146243,0.828708,-12974.80206,126478.0753,80290.18977,26.350562,39.110038,14.616991,18.409507,52.525838,-0.130818,Case 4
116000,666,116000,0.1,222,0.042274,180,180,170,170,40,35.006245,89.587245,25,0.022789,0.146582,0.830629,-14535.47871,124773.5927,84600.12841,26.431231,39.217936,13.666685,19.310575,55.983382,-0.136342,Case 5
122000,666,122000,0.1,222,0.040079,180,180,170,170,40,35.003286,89.510719,25,0.02095,0.146858,0.832193,-16949.09781,123274.5555,88080.01835,26.499875,39.306906,12.926906,20.001275,58.814362,-0.135339,Case 6
128000,666,128000,0.1,222,0.038399,180,180,170,170,40,35.014876,89.41347,25,0.01949,0.147077,0.833434,-20368.56859,122141.7721,90650.7965,26.549191,39.37736,12.362411,20.612235,61.349853,-0.128902,Case 7
134000,666,134000,0.1,222,0.03697,180,180,170,170,40,35.005752,89.279561,25,0.018166,0.147275,0.834559,-24677.92521,121341.5941,92585.84976,26.59704,39.439869,11.883657,21.078267,63.501609,-0.119807,Case 8
140000,666,140000,0.1,222,0.036159,180,180,170,170,40,35.0105,89.155747,25,0.017355,0.147397,0.835248,-29135.14408,120592.7577,94017.79548,26.622242,39.480572,11.611604,21.335833,64.805913,-0.104304,Case 9
146000,666,146000,0.1,222,0.035358,180,180,170,170,40,35.005997,89.005429,25,0.016606,0.147509,0.835885,-34017.99695,120430.8333,94874.18727,26.649184,39.514403,11.343694,21.648011,66.222106,-0.088673,Case 10
152000,666,152000,0.1,222,0.034804,180,180,170,170,40,35.004226,88.853842,25,0.016076,0.147589,0.836335,-39134.128,119713.3641,96051.01224,26.666424,39.541652,11.159752,21.830174,67.132478,-0.07044,Case 11
158000,666,158000,0.1,222,0.034244,180,180,170,170,40,35.00876,88.708173,25,0.015515,0.147673,0.836812,-43921.70669,119760.9482,96471.56989,26.686366,39.565192,10.973519,22.016155,68.100512,-0.052277,Case 12
164000,666,164000,0.1,222,0.033788,180,180,170,170,40,35.008258,88.552489,25,0.015035,0.147745,0.837221,-49362.33806,119196.881,97417.95242,26.703747,39.589881,10.821661,22.193413,69.013622,-0.033048,Case 13
170000,666,170000,0.1,222,0.033328,180,180,170,170,40,35.008182,88.39677,25,0.014573,0.147814,0.837613,-54779.82798,119234.1123,97728.03486,26.717285,39.60919,10.669108,22.339957,69.81026,-0.013841,Case 14
176000,666,176000,0.1,222,0.032934,180,180,170,170,40,35.007936,88.224249,25,0.014149,0.147878,0.837973,-60631.17162,118666.9806,98643.59645,26.737556,39.6316,10.537878,22.503704,70.661018,0.006027,Case 15
182000,666,182000,0.1,222,0.032555,180,180,170,170,40,35.007708,88.091392,25,0.013755,0.147937,0.838308,-65549.25721,118697.9552,98860.09199,26.744866,39.648061,10.412338,22.57648,71.200734,0.026072,Case 16
188000,666,188000,0.1,222,0.032242,180,180,170,170,40,35.007349,87.93762,25,0.013402,0.14799,0.838609,-71237.45657,118723.9091,99058.96192,26.751643,39.662838,10.308871,22.664138,71.7824,0.0468,Case 17
194000,666,194000,0.1,222,0.031951,180,180,170,170,40,35.007219,87.754603,25,0.013096,0.148036,0.838868,-77113.09145,118066.5701,100039.9906,26.776604,39.680936,10.212017,22.831391,71.7824,0.067734,Case 18
200000,666,194000,0.1,222,0.031951,180,180,170,170,40,35.007219,87.754603,25,0.013096,0.148036,0.838868,-77113.09145,118066.5701,100039.9906,26.776604,39.680936,10.212017,22.831391,71.7824,0.067734,Case 19
