Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
98000,822,98000,0.1,274,0.061271,180,180,170,170,40,35.020516,89.78585,25,0.035635,0.144655,0.81971,-10568.62291,167649.1967,67952.91015,32.027512,47.664621,24.893421,15.825522,35.087848,-0.09969,Case 1
104000,822,104000,0.1,274,0.059312,180,180,170,170,40,35.002701,89.759163,25,0.034028,0.144896,0.821076,-11245.35219,165986.1535,73246.85562,32.105457,47.757604,24.052274,16.587043,37.171421,-0.10183,Case 2
110000,822,110000,0.1,274,0.057212,180,180,170,170,40,34.999925,89.736824,25,0.032459,0.145131,0.822409,-11948.84275,164280.4454,78297.03546,32.181212,47.848382,23.155009,17.508171,39.582849,-0.105709,Case 3
116000,822,116000,0.1,274,0.054996,180,180,170,170,40,35.014984,89.716113,25,0.030762,0.145386,0.823852,-12671.26566,162611.1972,83282.43964,32.260789,47.946404,22.210879,18.536645,42.338804,-0.11104,Case 4
122000,822,122000,0.1,274,0.052688,180,180,170,170,40,35.016337,89.694291,25,0.02892,0.145662,0.825418,-13541.39933,160863.6401,88330.74975,32.345187,48.05326,21.231229,19.487672,45.06101,-0.117473,Case 5
128000,822,128000,0.1,274,0.05042,180,180,170,170,40,35.016757,89.666515,25,0.027058,0.145941,0.827001,-14480.20674,159143.0987,93252.03483,32.432781,48.161517,20.271485,20.492681,48.018249,-0.123289,Case 6
134000,822,134000,0.1,274,0.047955,180,180,170,170,40,35.004976,89.639504,25,0.024925,0.146261,0.828814,-15629.49492,157527.7071,97905.58204,32.524207,48.283952,19.23198,21.552748,51.360721,-0.131578,Case 7
140000,822,140000,0.1,274,0.045736,180,180,170,170,40,35.006486,89.601568,25,0.022966,0.146555,0.830479,-17376.94671,155863.1179,102331.3781,32.607543,48.397605,18.300173,22.486602,54.466521,-0.136528,Case 8
146000,822,146000,0.1,274,0.043991,180,180,170,170,40,35.015354,89.540697,25,0.021403,0.14679,0.831807,-19670.84347,154238.6731,106060.7688,32.681293,48.490202,17.569787,23.082821,56.672728,-0.135233,Case 9
152000,822,152000,0.1,274,0.042716,180,180,170,170,40,35.01295,89.464289,25,0.020195,0.146971,0.832834,-22931.69088,153281.531,108564.4349,32.731724,48.559969,17.037427,23.637414,58.700308,-0.1278,Case 10
158000,822,158000,0.1,274,0.041619,180,180,170,170,40,35.012128,89.362138,25,0.019126,0.147131,0.833743,-26902.92065,152450.1734,110670.0127,32.780957,48.621677,16.580526,24.097336,60.479559,-0.118028,Case 11
164000,822,164000,0.1,274,0.040838,180,180,170,170,40,35.010488,89.244962,25,0.018304,0.147254,0.834442,-31403.35809,151672.2628,112398.9366,32.816453,48.670687,16.254559,24.527455,62.107513,-0.104197,Case 12
170000,822,170000,0.1,274,0.040153,180,180,170,170,40,35.003473,89.139586,25,0.017582,0.147363,0.835055,-36276.83428,151746.7474,113020.0049,32.836217,48.707857,15.970047,24.717363,63.086488,-0.089081,Case 13
176000,822,176000,0.1,274,0.039516,180,180,170,170,40,35.009107,89.012492,25,0.016944,0.147458,0.835597,-41159.46532,150734.3146,114741.8928,32.873432,48.74825,15.705668,25.070416,64.418458,-0.07334,Case 14
182000,822,182000,0.1,274,0.038918,180,180,170,170,40,35.006082,88.896257,25,0.016293,0.147556,0.836151,-46317.26542,150800.5738,115214.9441,32.892557,48.781703,15.458339,25.17099,65.164685,-0.057071,Case 15
188000,822,188000,0.1,274,0.0386,180,180,170,170,40,35.007261,88.788846,25,0.015928,0.147611,0.836461,-50755.81643,150838.0683,115634.526,32.908121,48.800432,15.32662,25.360362,65.945869,-0.037218,Case 16
194000,822,194000,0.1,274,0.038189,180,180,170,170,40,35.007583,88.660309,25,0.01553,0.14767,0.836799,-56256.60131,149809.5357,117072.8498,32.929048,48.828361,15.156249,25.562936,66.74932,-0.018564,Case 17
200000,822,200000,0.1,274,0.037824,180,180,170,170,40,35.00762,88.518517,25,0.015116,0.147733,0.837151,-62050.9024,149851.5295,117469.0905,32.949135,48.849558,15.005664,25.73503,67.538243,0.000704,Case 18
