Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
100000,861,100000,0.1,287,0.062507,180,180,170,170,40,35.019632,89.790707,25,0.03621,0.144568,0.819221,-10793.0407,176350.336,69092.88087,33.518452,49.893824,26.628795,15.998042,33.90631,-0.097807,Case 1
106000,861,106000,0.1,287,0.060714,180,180,170,170,40,35.012257,89.767812,25,0.034788,0.144782,0.82043,-11405.69084,174679.104,74392.28559,33.592737,49.980332,25.820681,16.833064,35.993277,-0.098922,Case 2
112000,861,112000,0.1,287,0.058632,180,180,170,170,40,35.003115,89.746873,25,0.033105,0.145034,0.821861,-12054.68843,173083.0762,79563.64226,33.675063,50.081195,24.886409,17.669978,38.203201,-0.103949,Case 3
118000,861,118000,0.1,287,0.056601,180,180,170,170,40,35.013626,89.727276,25,0.031573,0.145264,0.823163,-12809.45963,171358.1638,84568.8641,33.751481,50.174348,23.978154,18.643285,40.668073,-0.108168,Case 4
124000,861,124000,0.1,287,0.054437,180,180,170,170,40,35.004442,89.705983,25,0.029768,0.145535,0.824697,-13543.448,169849.0077,89509.49453,33.838829,50.282522,23.012706,19.542478,43.183299,-0.114161,Case 5
130000,861,130000,0.1,287,0.052251,180,180,170,170,40,35.015692,89.68314,25,0.028032,0.145795,0.826173,-14436.67465,167918.772,94659.96474,33.924385,50.388965,22.041206,20.580249,46.007632,-0.120341,Case 6
136000,861,136000,0.1,287,0.04995,180,180,170,170,40,35.004758,89.659814,25,0.026038,0.146094,0.827868,-15459.93446,166251.877,99587.93454,34.016072,50.50898,21.022174,21.662901,49.194821,-0.127995,Case 7
142000,861,142000,0.1,287,0.047967,180,180,170,170,40,34.999994,89.62897,25,0.024318,0.146352,0.82933,-16861.90059,164664.8002,103944.1979,34.095374,50.613548,20.146765,22.49135,51.78884,-0.131197,Case 8
148000,861,148000,0.1,287,0.045953,180,180,170,170,40,34.999836,89.584258,25,0.022499,0.146625,0.830876,-18790.80089,163096.3873,108103.8211,34.178208,50.723646,19.260191,23.501257,54.97462,-0.134744,Case 9
154000,861,154000,0.1,287,0.044474,180,180,170,170,40,35.003485,89.517263,25,0.021089,0.146837,0.832075,-21459.28848,161841.0163,111314.5455,34.246422,50.809152,18.612004,24.004371,56.905516,-0.130902,Case 10
160000,861,160000,0.1,287,0.043324,180,180,170,170,40,35.012585,89.444111,25,0.019934,0.14701,0.833056,-24878.01946,160603.0502,114007.7612,34.296967,50.881447,18.107128,24.493354,58.749642,-0.122617,Case 11
166000,861,166000,0.1,287,0.042318,180,180,170,170,40,35.011542,89.340656,25,0.018928,0.147161,0.833911,-29084.42385,159854.8931,115884.9465,34.338528,50.941588,17.667466,24.992443,60.56952,-0.11231,Case 12
172000,861,172000,0.1,287,0.041566,180,180,170,170,40,35.009974,89.226604,25,0.018149,0.147278,0.834573,-33787.5802,159945.0177,116773.8657,34.373184,50.983563,17.339931,25.37258,62.009916,-0.098528,Case 13
178000,861,178000,0.1,287,0.040914,180,180,170,170,40,35.005828,89.13087,25,0.017508,0.147374,0.835118,-38240.41025,158898.6287,118481.3378,34.400313,51.025406,17.055856,25.669314,63.152102,-0.083398,Case 14
184000,861,184000,0.1,287,0.040397,180,180,170,170,40,35.008662,89.004364,25,0.01693,0.14746,0.835609,-43474.79399,158962.5325,119120.1274,34.427589,51.056477,16.831126,25.864991,64.06799,-0.066428,Case 15
190000,861,190000,0.1,287,0.039814,180,180,170,170,40,35.005976,88.890426,25,0.016326,0.147551,0.836123,-48283.71623,158201.4348,120487.2165,34.459395,51.094559,16.577856,26.024962,64.897185,-0.050344,Case 16
196000,861,196000,0.1,287,0.039524,180,180,170,170,40,35.007061,88.792264,25,0.01599,0.147602,0.836409,-53019.30017,158237.479,120825.2678,34.466476,51.11259,16.452003,26.176885,65.548543,-0.030309,Case 17
