Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
86000,354,86000,0.1,118,0.026148,180,180,170,170,40,34.985872,88.803127,25,0.016438,0.147534,0.836028,-22088.54847,61982.59843,52794.65721,14.172952,21.002626,4.427585,13.135351,69.434353,-0.063297,Case 1
92000,354,92000,0.1,118,0.024162,180,180,170,170,40,34.996273,88.48913,25,0.014695,0.147796,0.837509,-27710.96868,61157.46022,54192.83601,14.207928,21.050833,4.080713,13.474542,72.265325,-0.050114,Case 2
98000,354,98000,0.1,118,0.022488,180,180,170,170,40,35.002789,88.187772,25,0.013314,0.148003,0.838683,-33464.20499,60629.13914,55103.91751,14.229562,21.087201,3.790524,13.765995,74.629241,-0.035173,Case 3
104000,354,104000,0.1,118,0.022012,180,180,170,170,40,34.998686,87.880009,25,0.012886,0.148067,0.839047,-38899.90498,60448.89964,55545.50764,14.243408,21.098847,3.708021,13.844402,74.629241,-0.013795,Case 4
110000,354,104000,0.1,118,0.022012,180,180,170,170,40,34.998686,87.880009,25,0.012886,0.148067,0.839047,-38899.90498,60448.89964,55545.50764,14.243408,21.098847,3.708021,13.844402,74.629241,-0.013795,Case 5
116000,354,116000,0.1,118,0.020738,180,180,170,170,40,35.003685,87.302378,25,0.011658,0.148251,0.840091,-50284.39222,59946.96309,56399.60025,14.25776,21.132224,3.487527,14.024985,77.245288,0.027242,Case 6
122000,354,122000,0.1,118,0.02028,180,180,170,170,40,35.004066,86.986064,25,0.011176,0.148324,0.8405,-55725.34709,59752.1087,56874.56051,14.280047,21.145451,3.408186,14.136442,78.251142,0.048719,Case 7
128000,354,128000,0.1,118,0.020093,180,180,170,170,40,34.998856,86.708249,25,0.010988,0.148352,0.84066,-61372.95442,59683.83301,57046.72132,14.284387,21.150626,3.375794,14.130532,78.377263,0.071651,Case 8
134000,354,134000,0.1,118,0.019323,180,180,170,170,40,35.008465,86.429667,25,0.010136,0.14848,0.841384,-67391.54849,59311.24186,57570.48739,14.292349,21.174133,3.242896,14.256056,79.822854,0.091467,Case 9
140000,354,140000,0.1,118,0.019294,180,180,170,170,40,35.004307,86.139863,25,0.01011,0.148484,0.841407,-73073.51654,59322.66937,57650.2399,14.296107,21.17457,3.237985,14.323419,80.224721,0.115251,Case 10
146000,354,146000,0.1,118,0.018903,180,180,170,170,40,35.004485,85.869348,25,0.009685,0.148547,0.841768,-79007.47607,59191.51464,57864.59143,14.298769,21.185755,3.170631,14.363801,80.838851,0.137099,Case 11
152000,354,152000,0.1,118,0.018669,180,180,170,170,40,35.004562,85.578035,25,0.009424,0.148586,0.84199,-84772.10127,59055.80301,58131.1759,14.308745,21.193236,3.130255,14.392465,81.239224,0.159784,Case 12
158000,354,158000,0.1,118,0.018511,180,180,170,170,40,35.003584,85.301667,25,0.00928,0.148608,0.842112,-90521.6039,59049.79812,58224.05121,14.31315,21.196561,3.103227,14.460491,81.740574,0.182882,Case 13
164000,354,164000,0.1,118,0.018297,180,180,170,170,40,35.003301,85.028609,25,0.009043,0.148644,0.842314,-96858.07944,58958.52774,58332.3811,14.309907,21.202969,3.066425,14.487949,82.125899,0.205677,Case 14
170000,354,170000,0.1,118,0.017966,180,180,170,170,40,35.00628,84.751734,25,0.008659,0.148701,0.84264,-102249.2692,58830.57381,58628.4685,14.325062,21.213211,3.009562,14.543277,82.803295,0.227851,Case 15
176000,354,176000,0.1,118,0.01787,180,180,170,170,40,35.003797,84.489676,25,0.00848,0.148728,0.842792,-108117.2826,58729.11355,58782.62645,14.327637,21.218483,2.992839,14.528737,82.947653,0.251269,Case 16
182000,354,182000,0.1,118,0.017689,180,180,170,170,40,35.004212,84.22169,25,0.008278,0.148758,0.842964,-114081.2614,58648.86488,58926.36223,14.331134,21.223975,2.961786,14.569437,83.377778,0.274242,Case 17
188000,354,188000,0.1,118,0.017538,180,180,170,170,40,35.004115,83.959679,25,0.008093,0.148786,0.843121,-120030.4524,58590.54903,59039.87135,14.333816,21.22884,2.935869,14.599114,83.741557,0.297375,Case 18
194000,354,194000,0.1,118,0.01731,180,180,170,170,40,35.006777,83.700011,25,0.007874,0.148819,0.843307,-125756.4811,58574.3654,59145.16746,14.340243,21.234044,2.896926,14.66421,84.300849,0.320104,Case 19
200000,354,200000,0.1,118,0.017172,180,180,170,170,40,35.006643,83.446644,25,0.007698,0.148845,0.843456,-131667.0883,58518.62433,59246.2224,14.342361,21.238672,2.873315,14.682506,84.598104,0.343308,Case 20
