Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
80000,237,80000,0.1,79,0.016078,180,180,170,170,40,35.002113,87.225048,25,0.011332,0.1483,0.840368,-34811.09727,39449.75962,38550.22831,9.553661,14.152273,1.803342,9.93919,78.813405,0.011092,Case 1
86000,237,86000,0.1,79,0.015254,180,180,170,170,40,35.003828,86.796689,25,0.01052,0.148422,0.841058,-40536.46242,39204.293,39024.71236,9.571225,14.167953,1.708602,10.019277,80.073394,0.032091,Case 2
92000,237,92000,0.1,79,0.014367,180,180,170,170,40,35.009799,86.317755,25,0.009638,0.148554,0.841808,-46380.54282,38939.67383,39453.56674,9.58155,14.184779,1.607126,10.154392,81.860336,0.052882,Case 3
98000,237,98000,0.1,79,0.014485,180,180,170,170,40,35.000177,85.896638,25,0.009683,0.148548,0.84177,-52100.23566,38932.56165,39508.72504,9.582777,14.184484,1.620382,10.108457,81.524068,0.077229,Case 4
104000,237,104000,0.1,79,0.013672,180,180,170,170,40,35.007337,85.501132,25,0.008907,0.148664,0.842429,-58175.80116,38740.6024,39782.0827,9.585151,14.198732,1.527592,10.205368,82.921221,0.098289,Case 5
110000,237,110000,0.1,79,0.013488,180,180,170,170,40,35.005243,85.112114,25,0.008608,0.148709,0.842683,-63807.4339,38633.28045,39935.08809,9.585858,14.204786,1.506493,10.225852,83.435385,0.121571,Case 6
116000,237,116000,0.1,79,0.013283,180,180,170,170,40,35.002375,84.696669,25,0.008438,0.148734,0.842828,-69776.08842,38611.5343,40028.67131,9.590003,14.207643,1.48325,10.279618,83.998056,0.144786,Case 7
122000,237,122000,0.1,79,0.012621,180,180,170,170,40,35.016365,84.315496,25,0.00768,0.148848,0.843472,-75831.54972,38414.97508,40279.14152,9.591484,14.22176,1.407853,10.312354,85.000217,0.166385,Case 8
128000,237,128000,0.1,79,0.012714,180,180,170,170,40,35.002487,83.876757,25,0.007752,0.148837,0.843411,-81313.602,38430.95917,40433.68571,9.609564,14.220663,1.418238,10.321611,85.011943,0.190643,Case 9
134000,237,134000,0.1,79,0.012416,180,180,170,170,40,35.009897,83.52703,25,0.007337,0.148899,0.843764,-87268.82959,38291.17999,40573.41666,9.605613,14.228943,1.38423,10.365976,85.854047,0.213525,Case 10
140000,237,140000,0.1,79,0.012208,180,180,170,170,40,35.008176,83.108487,25,0.007078,0.148938,0.843984,-93342.43705,38229.99624,40744.61598,9.616038,14.233754,1.36059,10.398677,86.378704,0.236729,Case 11
146000,237,146000,0.1,79,0.012027,180,180,170,170,40,35.007796,82.742531,25,0.006846,0.148973,0.844181,-99061.59566,38177.98813,40855.71544,9.620491,14.238031,1.339999,10.410678,86.730061,0.260026,Case 12
152000,237,152000,0.1,79,0.011977,180,180,170,170,40,35.00457,82.40995,25,0.006802,0.14898,0.844218,-104903.3913,38190.18903,40795.66163,9.612158,14.238564,1.334402,10.430296,86.955329,0.283789,Case 13
158000,237,158000,0.1,79,0.011723,180,180,170,170,40,35.006906,82.007597,25,0.006432,0.149035,0.844533,-110908.8021,38083.43329,41055.05417,9.628642,14.245731,1.305462,10.426652,87.336081,0.306828,Case 14
164000,237,164000,0.1,79,0.01175,180,180,170,170,40,34.999334,81.640721,25,0.006514,0.149023,0.844463,-116750.4819,38129.25902,41047.02634,9.631643,14.243858,1.30856,10.428134,87.236418,0.33086,Case 15
170000,237,170000,0.1,79,0.011589,180,180,170,170,40,35.000836,81.305831,25,0.006294,0.149056,0.84465,-122751.6156,38080.50996,41097.51434,9.629784,14.247863,1.290322,10.437262,87.571732,0.354231,Case 16
176000,237,176000,0.1,79,0.011504,180,180,170,170,40,34.999988,80.946722,25,0.006178,0.149073,0.844748,-128651.7987,38056.06276,41192.10013,9.63641,14.24998,1.28073,10.462144,87.90889,0.37787,Case 17
182000,237,182000,0.1,79,0.011274,180,180,170,170,40,35.007853,80.655039,25,0.005821,0.149127,0.845052,-134893.6545,37948.00034,41180.44573,9.619594,14.256907,1.254531,10.480037,88.522674,0.400994,Case 18
188000,237,188000,0.1,79,0.011305,180,180,170,170,40,35.000596,80.286843,25,0.005886,0.149117,0.844997,-140589.073,37991.36833,41286.6014,9.636567,14.255395,1.258025,10.49248,88.516293,0.425038,Case 19
194000,237,194000,0.1,79,0.011211,180,180,170,170,40,35.00072,79.954077,25,0.005747,0.149138,0.845115,-146522.2049,37960.45627,41360.98812,9.640366,14.257953,1.247455,10.502137,88.768307,0.448647,Case 20
200000,237,200000,0.1,79,0.011141,180,180,170,170,40,35.000276,79.6229,25,0.005644,0.149153,0.845203,-152451.7591,37938.67414,41432.87104,9.645023,14.259851,1.239431,10.518474,88.768307,0.472334,Case 21
