Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
98000,861,98000,0.1,287,0.063123,180,180,170,170,40,35.005429,89.799658,25,0.036606,0.144509,0.818885,-10460.58311,176872.4531,67354.37232,33.497601,49.870943,26.904333,15.665695,33.156155,-0.097244,Case 1
104000,861,104000,0.1,287,0.061355,180,180,170,170,40,35.002257,89.775952,25,0.035197,0.14472,0.820082,-11080.90262,174747.0717,73035.9657,33.573516,49.959421,26.106241,16.537135,35.310056,-0.098049,Case 2
110000,861,110000,0.1,287,0.059326,180,180,170,170,40,35.002746,89.754478,25,0.033648,0.144953,0.821399,-11830.73329,173596.757,77914.84665,33.647959,50.048683,25.197535,17.399941,37.492589,-0.102283,Case 3
116000,861,116000,0.1,287,0.057254,180,180,170,170,40,35.003157,89.734095,25,0.032028,0.145196,0.822776,-12474.72145,171951.8631,82917.27971,33.728492,50.146376,24.269584,18.437904,40.131829,-0.107113,Case 4
122000,861,122000,0.1,287,0.055271,180,180,170,170,40,35.003559,89.714879,25,0.030439,0.145434,0.824126,-13330.12676,170008.0581,88219.28113,33.808323,50.24604,23.381293,19.297199,42.44498,-0.110714,Case 5
128000,861,128000,0.1,287,0.052771,180,180,170,170,40,34.999327,89.694273,25,0.028441,0.145734,0.825825,-14114.01662,168446.7742,93173.68439,33.90072,50.363792,22.27118,20.390541,45.459049,-0.121191,Case 6
134000,861,134000,0.1,287,0.050708,180,180,170,170,40,35.004497,89.669806,25,0.026683,0.145998,0.82732,-15058.83841,166958.9325,97757.80172,33.98456,50.469373,21.35707,21.346151,48.234213,-0.125592,Case 7
140000,861,140000,0.1,287,0.048754,180,180,170,170,40,35.015499,89.638806,25,0.025033,0.146245,0.828722,-16309.47692,165147.2048,102462.9865,34.065753,50.571016,20.493974,22.183987,50.766479,-0.128412,Case 8
146000,861,146000,0.1,287,0.046413,180,180,170,170,40,35.006108,89.603684,25,0.022884,0.146567,0.830549,-18033.28608,163692.469,106788.6263,34.157389,50.698593,19.462887,23.145752,53.980317,-0.13644,Case 9
152000,861,152000,0.1,287,0.044777,180,180,170,170,40,35.005944,89.547054,25,0.021359,0.146796,0.831845,-20268.14969,161967.1177,110618.1132,34.232816,50.794392,18.743019,23.880885,56.475931,-0.134819,Case 10
158000,861,158000,0.1,287,0.043727,180,180,170,170,40,35.011691,89.472465,25,0.020323,0.146951,0.832725,-23649.76562,160969.5786,113181.3521,34.279437,50.857713,18.283071,24.358074,58.20147,-0.125142,Case 11
164000,861,164000,0.1,287,0.042656,180,180,170,170,40,35.012009,89.382391,25,0.019266,0.14711,0.833624,-27656.12345,160115.5917,115264.3317,34.32389,50.921322,17.815269,24.875114,60.07475,-0.115707,Case 12
170000,861,170000,0.1,287,0.041812,180,180,170,170,40,35.001889,89.263842,25,0.018386,0.147242,0.834371,-32151.35835,160213.391,116237.1326,34.363059,50.968797,17.44701,25.118853,60.07475,-0.103187,Case 13
176000,861,170000,0.1,287,0.041812,180,180,170,170,40,35.001889,89.263842,25,0.018386,0.147242,0.834371,-32151.35835,160213.391,116237.1326,34.363059,50.968797,17.44701,25.118853,60.07475,-0.103187,Case 14
182000,861,182000,0.1,287,0.040541,180,180,170,170,40,35.013717,89.055945,25,0.017084,0.147437,0.835479,-41665.21766,158471.3329,119340.0938,34.417032,51.05172,16.89319,25.701741,63.553125,-0.072483,Case 15
188000,861,188000,0.1,287,0.039984,180,180,170,170,40,35.005806,88.926704,25,0.016482,0.147528,0.835991,-46852.56607,158535.7171,119963.7498,34.44869,51.084015,16.651559,25.935389,64.576059,-0.056038,Case 16
194000,861,194000,0.1,287,0.039679,180,180,170,170,40,35.00719,88.831271,25,0.016126,0.147581,0.836293,-51282.61817,158574.3123,120342.7361,34.459474,51.10309,16.519188,26.10148,65.276281,-0.036205,Case 17
200000,861,200000,0.1,287,0.039254,180,180,170,170,40,35.007589,88.691122,25,0.01571,0.147644,0.836647,-57204.99789,157649.1123,121762.1933,34.486901,51.131961,16.334694,26.342212,66.170344,-0.017988,Case 18
