Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
92000,705,92000,0.1,235,0.056623,180,180,170,170,40,35.006291,89.758487,25,0.033332,0.145,0.821668,-10165.36027,140895.8879,65315.25362,27.564649,40.991301,19.649823,15.227859,39.287168,-0.106501,Case 1
98000,705,98000,0.1,235,0.054243,180,180,170,170,40,35.015085,89.726405,25,0.031606,0.145259,0.823134,-10930.15686,139636.2982,69776.34573,27.633691,41.073817,18.782912,16.137864,42.01311,-0.109439,Case 2
104000,705,104000,0.1,235,0.051624,180,180,170,170,40,35.017173,89.696959,25,0.029639,0.145554,0.824806,-11694.71257,137851.6403,74857.5857,27.71415,41.172112,17.831094,17.130534,45.107341,-0.115009,Case 3
110000,705,110000,0.1,235,0.048828,180,180,170,170,40,35.018809,89.668846,25,0.027491,0.145876,0.826633,-12573.77353,136006.1562,79809.71588,27.798723,41.279843,16.819115,18.118208,48.34731,-0.122445,Case 4
116000,705,116000,0.1,235,0.045896,180,180,170,170,40,35.006379,89.634221,25,0.025065,0.14624,0.828695,-13663.87936,133920.4291,85001.32556,27.894221,41.403842,15.760517,19.216728,52.185397,-0.131325,Case 5
122000,705,122000,0.1,235,0.043454,180,180,170,170,40,35.003226,89.591594,25,0.023083,0.146538,0.830379,-15185.3048,132467.3815,88935.38514,27.968657,41.502289,14.885617,20.102264,55.3757,-0.134511,Case 6
128000,705,128000,0.1,235,0.041116,180,180,170,170,40,35.005451,89.519848,25,0.021075,0.146839,0.832086,-17621.85532,131000.9292,92583.63882,28.044729,41.602824,14.050236,20.877405,58.445713,-0.136471,Case 7
134000,705,134000,0.1,235,0.039564,180,180,170,170,40,35.014215,89.429043,25,0.019703,0.147045,0.833253,-21095.35279,129871.0615,95212.05995,28.093239,41.67286,13.497098,21.398903,60.612601,-0.129682,Case 8
140000,705,140000,0.1,235,0.03831,180,180,170,170,40,35.01288,89.309613,25,0.018537,0.147219,0.834243,-25114.37284,129046.8794,97132.46854,28.138657,41.731409,13.051357,21.849664,62.558065,-0.119564,Case 9
146000,705,146000,0.1,235,0.037538,180,180,170,170,40,35.003781,89.181011,25,0.017781,0.147333,0.834886,-30069.8038,128265.1192,98664.47933,28.163451,41.771852,12.776295,22.225956,64.114375,-0.104155,Case 10
152000,705,152000,0.1,235,0.036586,180,180,170,170,40,35.00576,89.033489,25,0.016823,0.147476,0.8357,-34787.20308,128349.9085,99352.06374,28.196995,41.814479,12.439975,22.413721,65.298701,-0.090645,Case 11
158000,705,158000,0.1,235,0.035963,180,180,170,170,40,35.004015,88.891407,25,0.016222,0.147567,0.836212,-39543.60008,127408.043,100873.318,28.228199,41.848332,12.21923,22.647765,66.377457,-0.073552,Case 12
164000,705,164000,0.1,235,0.035514,180,180,170,170,40,35.008021,88.770845,25,0.015761,0.147636,0.836603,-44217.18565,127449.8379,101230.1067,28.238016,41.86876,12.061168,22.845565,67.290998,-0.054515,Case 13
170000,705,170000,0.1,235,0.03505,180,180,170,170,40,35.008173,88.604052,25,0.015277,0.147708,0.837014,-50048.63321,126842.169,102299.0682,28.262218,41.894995,11.896925,23.062314,68.289508,-0.035671,Case 14
176000,705,176000,0.1,235,0.034648,180,180,170,170,40,35.007769,88.483164,25,0.014866,0.14777,0.837364,-54810.93539,126877.6386,102564.0762,28.269427,41.913208,11.755608,23.196495,68.996637,-0.016116,Case 15
182000,705,182000,0.1,235,0.034234,180,180,170,170,40,35.007962,88.337029,25,0.01442,0.147837,0.837743,-60189.37393,126309.5144,103478.2405,28.287613,41.937525,11.609205,23.310128,69.687616,0.003282,Case 16
188000,705,188000,0.1,235,0.033902,180,180,170,170,40,35.007347,88.190129,25,0.01407,0.14789,0.838041,-65710.07228,126338.9789,103731.8497,28.297751,41.95298,11.492796,23.452465,70.393088,0.02361,Case 17
194000,705,194000,0.1,235,0.033577,180,180,170,170,40,35.007602,88.016611,25,0.0137,0.147945,0.838355,-71652.79077,126368.4758,104053.8854,28.318167,41.969299,11.378808,23.614165,71.19506,0.044012,Case 18
200000,705,200000,0.1,235,0.033282,180,180,170,170,40,35.007197,87.873754,25,0.01339,0.147991,0.838618,-77082.35408,125707.1608,104962.6919,28.332379,41.988237,11.274364,23.702621,71.712925,0.064711,Case 19
