Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
86000,549,86000,0.1,183,0.046428,180,180,170,170,40,35.004332,89.677091,25,0.027805,0.145829,0.826365,-9976.31488,105614.1716,61854.62398,21.63525,32.125742,12.432502,14.750054,49.133284,-0.114605,Case 1
92000,549,92000,0.1,183,0.042668,180,180,170,170,40,35.004533,89.630635,25,0.025086,0.146237,0.828677,-10979.01409,103456.8903,66950.94211,21.720627,32.233988,11.383367,15.807549,53.444737,-0.123192,Case 2
98000,549,98000,0.1,183,0.038919,180,180,170,170,40,35.005229,89.571439,25,0.022239,0.146664,0.831097,-12533.11876,101600.415,71393.29961,21.805134,32.34701,10.342821,16.877941,58.089861,-0.131513,Case 3
104000,549,104000,0.1,183,0.036387,180,180,170,170,40,35.018584,89.478299,25,0.02026,0.146961,0.832779,-15125.99108,100160.7391,74610.80283,21.864168,32.426403,9.644715,17.565033,61.275519,-0.129218,Case 4
110000,549,110000,0.1,183,0.034581,180,180,170,170,40,34.992765,89.342885,25,0.018738,0.147189,0.834073,-18825.76361,99337.13668,76670.87287,21.908731,32.48706,9.147142,18.128376,63.997859,-0.120707,Case 5
116000,549,116000,0.1,183,0.033201,180,180,170,170,40,35.01313,89.178767,25,0.017531,0.14737,0.835099,-23250.765,98492.94805,78416.32996,21.946514,32.536033,8.768686,18.470206,65.869949,-0.108503,Case 6
122000,549,122000,0.1,183,0.032029,180,180,170,170,40,35.006224,89.007489,25,0.016473,0.147529,0.835998,-28094.07794,97986.41507,79575.09208,21.974809,32.577585,8.447854,18.785804,67.627681,-0.094513,Case 7
128000,549,128000,0.1,183,0.031222,180,180,170,170,40,35.00412,88.832145,25,0.015709,0.147644,0.836647,-33199.5378,97329.44583,80714.30285,21.9955,32.609922,8.226926,18.97199,68.795316,-0.077425,Case 8
134000,549,134000,0.1,183,0.030511,180,180,170,170,40,35.003133,88.650734,25,0.015057,0.147741,0.837201,-38308.76331,97134.63813,81338.14479,22.013831,32.634665,8.033112,19.1604,69.900201,-0.059497,Case 9
140000,549,140000,0.1,183,0.029796,180,180,170,170,40,35.01038,88.430228,25,0.014296,0.147856,0.837848,-44126.08816,96576.23871,82358.6324,22.040406,32.666538,7.837665,19.398746,71.353443,-0.04162,Case 10
146000,549,146000,0.1,183,0.029502,180,180,170,170,40,35.003745,88.259864,25,0.014024,0.147896,0.83808,-49124.89603,96591.35094,82577.21969,22.045765,32.675997,7.75796,19.406442,71.571848,-0.020155,Case 11
152000,549,152000,0.1,183,0.028841,180,180,170,170,40,35.009898,88.051034,25,0.013339,0.147999,0.838662,-54946.45412,96072.49381,83472.61229,22.070147,32.704542,7.577977,19.620488,72.891485,-0.001798,Case 12
158000,549,158000,0.1,183,0.028643,180,180,170,170,40,35.006229,87.867788,25,0.013179,0.148023,0.838798,-60141.0957,96082.596,83656.54539,22.076313,32.710066,7.524299,19.7008,73.288537,0.020474,Case 13
164000,549,164000,0.1,183,0.028166,180,180,170,170,40,35.005883,87.709824,25,0.012665,0.1481,0.839235,-65458.33014,96112.19569,83802.21096,22.07946,32.72795,7.395325,19.764479,73.955297,0.040412,Case 14
170000,549,170000,0.1,183,0.027912,180,180,170,170,40,35.006908,87.512934,25,0.012403,0.14814,0.839458,-71203.8185,95647.06468,84466.25536,22.090293,32.741006,7.32602,19.875437,74.584311,0.0622,Case 15
176000,549,176000,0.1,183,0.027585,180,180,170,170,40,35.007371,87.327339,25,0.012073,0.148189,0.839738,-76803.82507,95667.03343,84631.81321,22.098211,32.752404,7.237748,19.955041,75.149649,0.0834,Case 16
182000,549,182000,0.1,183,0.02733,180,180,170,170,40,35.007211,87.11563,25,0.011772,0.148234,0.839994,-82554.44199,95327.88882,85235.36207,22.119043,32.76598,7.168057,20.058671,75.814467,0.105175,Case 17
188000,549,188000,0.1,183,0.027061,180,180,170,170,40,35.007186,86.932557,25,0.011496,0.148276,0.840228,-88661.41735,95344.2683,85305.52317,22.117285,32.775524,7.095562,20.127061,76.309106,0.126864,Case 18
194000,549,194000,0.1,183,0.026819,180,180,170,170,40,35.007069,86.744227,25,0.011221,0.148317,0.840462,-94008.29355,95359.40701,85500.19736,22.131373,32.785055,7.030351,20.188042,76.792319,0.148779,Case 19
200000,549,200000,0.1,183,0.026601,180,180,170,170,40,35.006969,86.559131,25,0.010965,0.148355,0.84068,-99812.87534,94937.28111,86057.11836,22.139991,32.797736,6.970843,20.242861,77.243734,0.17087,Case 20
