Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
100000,900,100000,0.1,300,0.064258,180,180,170,170,40,35.01998,89.80558,25,0.037206,0.144419,0.818375,-10661.24645,185641.1678,68404.52898,34.984281,52.09345,28.659242,15.918845,32.229583,-0.094755,Case 1
106000,900,106000,0.1,300,0.062559,180,180,170,170,40,35.001826,89.782587,25,0.035777,0.144633,0.81959,-11205.16972,183377.3573,74211.9167,35.064462,52.188372,27.853703,16.712972,34.169585,-0.095791,Case 2
112000,900,112000,0.1,300,0.060668,180,180,170,170,40,35.012179,89.763032,25,0.034373,0.144844,0.820783,-11908.00777,182303.8609,78928.64419,35.135881,52.272296,26.966769,17.653569,36.372227,-0.09935,Case 3
118000,900,118000,0.1,300,0.058681,180,180,170,170,40,35.003333,89.743923,25,0.032734,0.14509,0.822176,-12617.87997,180784.0706,84108.07786,35.219362,52.374796,26.033966,18.466433,38.476686,-0.10433,Case 4
124000,900,124000,0.1,300,0.056709,180,180,170,170,40,35.004294,89.725271,25,0.031141,0.145329,0.823531,-13315.61192,179235.9996,89074.98607,35.301098,52.475,25.111314,19.561799,41.1971,-0.108997,Case 5
130000,900,130000,0.1,300,0.054659,180,180,170,170,40,35.011808,89.706757,25,0.02947,0.14558,0.824951,-14086.6802,177588.2508,93998.4819,35.384972,52.58034,24.155463,20.427589,43.521918,-0.114692,Case 6
136000,900,136000,0.1,300,0.052588,180,180,170,170,40,35.005334,89.685985,25,0.027721,0.145842,0.826437,-14997.92879,175899.7306,99099.33836,35.472659,52.690753,23.192905,21.439767,46.28052,-0.120595,Case 7
142000,900,142000,0.1,300,0.050466,180,180,170,170,40,35.005857,89.662267,25,0.025885,0.146117,0.827997,-16130.38106,174174.9106,103966.2785,35.561044,52.806626,22.209579,22.368662,48.992921,-0.127142,Case 8
148000,900,148000,0.1,300,0.048463,180,180,170,170,40,35.00602,89.630246,25,0.024096,0.146386,0.829519,-17467.93258,172497.4247,108521.8666,35.648904,52.919736,21.284511,23.331762,51.881171,-0.131883,Case 9
154000,900,154000,0.1,300,0.046635,180,180,170,170,40,35.006344,89.586007,25,0.0224,0.14664,0.83096,-19491.14917,170992.3217,112548.9909,35.730065,53.026529,20.443394,24.042951,54.290258,-0.134021,Case 10
160000,900,160000,0.1,300,0.045435,180,180,170,170,40,35.012653,89.529149,25,0.021223,0.146817,0.83196,-22102.15668,169458.325,115927.9963,35.788944,53.104726,19.890435,24.670058,56.352081,-0.127227,Case 11
166000,900,166000,0.1,300,0.044239,180,180,170,170,40,35.012811,89.452458,25,0.020037,0.146994,0.832968,-25671.73193,168474.9981,118413.5976,35.841948,53.17906,19.342477,25.293792,58.472492,-0.120277,Case 12
172000,900,172000,0.1,300,0.043343,180,180,170,170,40,35.011139,89.35379,25,0.019104,0.147134,0.833762,-29727.2127,168590.5426,119462.8542,35.88008,53.231655,18.932434,25.702645,60.017309,-0.109052,Case 13
178000,900,178000,0.1,300,0.042433,180,180,170,170,40,35.005363,89.246816,25,0.018208,0.147269,0.834523,-34209.72456,167264.4886,121875.8352,35.931438,53.291228,18.517415,25.970124,61.204053,-0.097982,Case 14
184000,900,184000,0.1,300,0.041971,180,180,170,170,40,35.003873,89.151018,25,0.017681,0.147348,0.834971,-38919.99636,167323.9276,122481.0326,35.9476,53.320855,18.306832,26.251404,62.258833,-0.080574,Case 15
190000,900,190000,0.1,300,0.041279,180,180,170,170,40,35.006011,89.034894,25,0.016973,0.147454,0.835573,-43860.80769,166412.5616,124153.2895,35.987672,53.367172,17.991617,26.533007,63.414551,-0.066409,Case 16
196000,900,196000,0.1,300,0.040892,180,180,170,170,40,35.005673,88.924319,25,0.016519,0.147522,0.835958,-48931.39383,166463.019,124648.0538,36.006099,53.392558,17.815611,26.727847,64.240915,-0.047929,Case 17
