Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
98000,783,98000,0.1,261,0.05933,180,180,170,170,40,35.002891,89.765132,25,0.034424,0.144836,0.82074,-10642.75021,158602.8193,68464.36212,30.564098,45.467163,22.919454,15.919032,37.18712,-0.100991,Case 1
104000,783,104000,0.1,261,0.057084,180,180,170,170,40,35.003022,89.741496,25,0.032739,0.145089,0.822172,-11311.99283,156642.1144,73833.76355,30.641515,45.560771,22.006284,16.731195,39.458378,-0.105363,Case 2
110000,783,110000,0.1,261,0.05462,180,180,170,170,40,35.015655,89.717364,25,0.030947,0.145358,0.823695,-12117.13014,154803.7596,79015.69559,30.721824,45.659651,21.007651,17.719686,42.191137,-0.112384,Case 3
116000,783,116000,0.1,261,0.052313,180,180,170,170,40,35.016071,89.693916,25,0.029138,0.145629,0.825232,-12954.18298,153134.3314,83902.25031,30.80181,45.759732,20.074923,18.699559,45.042449,-0.117363,Case 4
122000,783,122000,0.1,261,0.049912,180,180,170,170,40,35.017213,89.666013,25,0.027212,0.145918,0.82687,-13850.61823,151395.5953,88777.39632,30.887861,45.866619,19.10827,19.703221,48.086783,-0.123393,Case 5
128000,783,128000,0.1,261,0.04704,180,180,170,170,40,34.997155,89.637509,25,0.024833,0.146275,0.828892,-14993.24794,149560.624,93780.91547,30.985827,45.997299,17.956252,20.80263,51.664988,-0.135169,Case 6
134000,783,134000,0.1,261,0.0451,180,180,170,170,40,35.005254,89.598624,25,0.023104,0.146534,0.830361,-16597.28282,148020.6025,97834.15482,31.058735,46.094175,17.181248,21.644846,54.541193,-0.135258,Case 7
140000,783,140000,0.1,261,0.042998,180,180,170,170,40,35.006333,89.538261,25,0.02122,0.146817,0.831963,-18965.72913,146584.1701,101481.8971,31.135657,46.198065,16.344169,22.452707,57.502652,-0.137272,Case 8
146000,783,146000,0.1,261,0.041775,180,180,170,170,40,35.012792,89.453599,25,0.020041,0.146994,0.832965,-22237.99373,145236.5122,104358.0945,31.188978,46.266907,15.85745,22.898513,59.309791,-0.128424,Case 9
152000,783,152000,0.1,261,0.040335,180,180,170,170,40,35.006491,89.349552,25,0.018693,0.147196,0.834111,-26443.41269,144437.4991,106427.9938,31.238933,46.339892,15.287238,23.471465,61.571544,-0.122164,Case 10
158000,783,158000,0.1,261,0.039589,180,180,170,170,40,35.005825,89.213982,25,0.017912,0.147313,0.834775,-31181.0787,144514.8789,107286.1252,31.271907,46.378355,14.992604,23.712874,62.728979,-0.107362,Case 11
164000,783,164000,0.1,261,0.038981,180,180,170,170,40,35.008671,89.119403,25,0.017336,0.1474,0.835264,-35084.03043,143395.9298,109046.7061,31.298207,46.414518,14.752822,23.966382,63.759165,-0.090859,Case 12
170000,783,170000,0.1,261,0.038452,180,180,170,170,40,35.00406,88.988676,25,0.016775,0.147484,0.835741,-40690.13237,143449.3885,109532.0056,31.310738,46.442076,14.544554,24.24035,64.892967,-0.073379,Case 13
176000,783,176000,0.1,261,0.037875,180,180,170,170,40,35.008762,88.867106,25,0.016196,0.147571,0.836233,-45174.47016,142582.7964,110990.5309,31.343626,46.47707,14.316569,24.42908,65.79878,-0.05651,Case 14
182000,783,182000,0.1,261,0.037444,180,180,170,170,40,35.007926,88.740978,25,0.01574,0.147639,0.836621,-50281.07862,142627.6848,111384.4955,31.358917,46.499414,14.147509,24.62097,66.658288,-0.037815,Case 15
188000,783,188000,0.1,261,0.03705,180,180,170,170,40,35.007884,88.614562,25,0.015293,0.147706,0.837001,-55644.16465,142669.2908,111729.519,31.37092,46.521288,13.992626,24.756308,67.386517,-0.01868,Case 16
194000,783,194000,0.1,261,0.036657,180,180,170,170,40,35.007582,88.481214,25,0.014899,0.147765,0.837336,-60911.42183,141761.5537,113022.9873,31.393415,46.547355,13.837927,24.937107,68.167473,0.00046,Case 17
200000,783,200000,0.1,261,0.036344,180,180,170,170,40,35.007336,88.34919,25,0.014548,0.147818,0.837635,-66560.04685,141794.8951,113287.6098,31.402019,46.564504,13.715091,25.064219,68.807343,0.020589,Case 18
